plate,well,component_no,component,ot2_label,vol
P3,F5,component5,9,n_z_amine,2
P3,F6,component4,9,n_z_amine,2
P3,G6,component4,9,n_z_amine,2
P3,H6,component4,9,n_z_amine,2
P3,A7,component4,9,n_z_amine,2
P3,B7,component4,9,n_z_amine,2
P3,C7,component4,9,n_z_amine,2
P3,D7,component4,9,n_z_amine,2
P3,A8,component6,9,n_z_amine,2
P3,B8,component6,9,n_z_amine,2
P3,C8,component6,9,n_z_amine,2
P3,D8,component6,9,n_z_amine,2
P3,D9,component5,9,n_z_amine,2
P3,E9,component5,9,n_z_amine,2
P3,F9,component5,9,n_z_amine,2
P3,G9,component5,9,n_z_amine,2
P3,H9,component5,9,n_z_amine,2
P3,A10,component5,9,n_z_amine,2
P3,B10,component5,9,n_z_amine,2
P3,C10,component5,9,n_z_amine,2
P3,H10,component5,9,n_z_amine,2
P3,A11,component5,9,n_z_amine,2
P3,B11,component5,9,n_z_amine,2
P3,C11,component5,9,n_z_amine,2
P3,D11,component5,9,n_z_amine,2
P3,E11,component5,9,n_z_amine,2
P3,F11,component5,9,n_z_amine,2
P3,C12,component4,9,n_z_amine,2
P3,D12,component4,9,n_z_amine,2
P3,E12,component4,9,n_z_amine,2
P4,C1,component1,1,glucose,2
P4,E1,component1,1,glucose,2
P4,G1,component1,1,glucose,2
P4,A2,component1,1,glucose,2
P4,F2,component1,1,glucose,2
P4,B3,component1,1,glucose,2
P4,D3,component1,1,glucose,2
P4,F3,component1,1,glucose,2
P4,H3,component1,1,glucose,2
P4,A4,component1,1,glucose,2
P4,E4,component1,1,glucose,2
P4,A5,component1,1,glucose,2
P4,C5,component1,1,glucose,2
P4,E5,component1,1,glucose,2
P4,F5,component1,1,glucose,2
P4,H5,component1,1,glucose,2
P4,D6,component1,1,glucose,2
P4,F6,component1,1,glucose,2
P4,H6,component1,1,glucose,2
P4,B7,component1,1,glucose,2
P4,G7,component1,1,glucose,2
P4,C8,component1,1,glucose,2
P4,E8,component1,1,glucose,2
P4,G8,component1,1,glucose,2
P4,A9,component1,1,glucose,2
P4,B9,component1,1,glucose,2
P4,F9,component1,1,glucose,2
P4,B10,component1,1,glucose,2
P4,D10,component1,1,glucose,2
P4,F10,component1,1,glucose,2
P4,G10,component1,1,glucose,2
P4,A11,component1,1,glucose,2
P4,E11,component1,1,glucose,2
P4,G11,component1,1,glucose,2
P4,A12,component1,1,glucose,2
P4,C12,component1,1,glucose,2
P4,D2,component4,10,peptone,2
P4,E2,component4,10,peptone,2
P4,F2,component4,10,peptone,2
P4,G2,component4,10,peptone,2
P4,C4,component5,10,peptone,2
P4,D4,component5,10,peptone,2
P4,E4,component5,10,peptone,2
P4,F4,component5,10,peptone,2
P4,F5,component5,10,peptone,2
P4,G5,component5,10,peptone,2
P4,H5,component5,10,peptone,2
P4,A6,component5,10,peptone,2
P4,F6,component5,10,peptone,2
P4,G6,component5,10,peptone,2
P4,H6,component5,10,peptone,2
P4,A7,component5,10,peptone,2
P4,E7,component4,10,peptone,2
P4,F7,component4,10,peptone,2
P4,G7,component4,10,peptone,2
P4,H7,component4,10,peptone,2
P4,E8,component6,10,peptone,2
P4,F8,component6,10,peptone,2
P4,G8,component6,10,peptone,2
P4,H8,component6,10,peptone,2
P4,D9,component6,10,peptone,2
P4,E9,component6,10,peptone,2
P4,F9,component6,10,peptone,2
P4,G9,component6,10,peptone,2
P4,D10,component5,10,peptone,2
P4,E10,component5,10,peptone,2
P4,F10,component5,10,peptone,2
P4,G10,component6,10,peptone,2
P4,H10,component6,10,peptone,2
P4,A11,component6,10,peptone,2
P4,B11,component6,10,peptone,2
P4,G11,component5,10,peptone,2
P4,H11,component5,10,peptone,2
P4,A12,component5,10,peptone,2
P4,B12,component5,10,peptone,2
P4,C12,component5,10,peptone,2
P4,D12,component5,10,peptone,2
P4,E12,component5,10,peptone,2
P4,H2,component4,11,malt_extract,2
P4,A3,component4,11,malt_extract,2
P4,B3,component4,11,malt_extract,2
P4,C3,component4,11,malt_extract,2
P4,G4,component5,11,malt_extract,2
P4,H4,component5,11,malt_extract,2
P4,A5,component5,11,malt_extract,2
P4,B5,component5,11,malt_extract,2
P4,B6,component5,11,malt_extract,2
P4,C6,component5,11,malt_extract,2
P4,D6,component5,11,malt_extract,2
P4,E6,component5,11,malt_extract,2
P4,B7,component5,11,malt_extract,2
P4,C7,component5,11,malt_extract,2
P4,D7,component5,11,malt_extract,2
P4,E7,component5,11,malt_extract,2
P4,F7,component5,11,malt_extract,2
P4,G7,component5,11,malt_extract,2
P4,H7,component5,11,malt_extract,2
P4,A9,component6,11,malt_extract,2
P4,B9,component6,11,malt_extract,2
P4,C9,component6,11,malt_extract,2
P4,H9,component6,11,malt_extract,2
P4,A10,component6,11,malt_extract,2
P4,B10,component6,11,malt_extract,2
P4,C10,component6,11,malt_extract,2
P4,D10,component6,11,malt_extract,2
P4,E10,component6,11,malt_extract,2
P4,F10,component6,11,malt_extract,2
P4,C11,component6,11,malt_extract,2
P4,D11,component6,11,malt_extract,2
P4,E11,component6,11,malt_extract,2
P4,F11,component6,11,malt_extract,2
P4,G11,component6,11,malt_extract,2
P4,H11,component6,11,malt_extract,2
P4,A12,component6,11,malt_extract,2
P4,B12,component6,11,malt_extract,2
P4,C12,component6,11,malt_extract,2
P4,D12,component6,11,malt_extract,2
P4,E12,component6,11,malt_extract,2
P4,B1,component1,2,k2hpo4,2
P4,D1,component1,2,k2hpo4,2
P4,E1,component2,2,k2hpo4,2
P4,C2,component1,2,k2hpo4,2
P4,D2,component1,2,k2hpo4,2
P4,E2,component1,2,k2hpo4,2
P4,F2,component2,2,k2hpo4,2
P4,G2,component1,2,k2hpo4,2
P4,A4,component2,2,k2hpo4,2
P4,B4,component1,2,k2hpo4,2
P4,D4,component1,2,k2hpo4,2
P4,E4,component2,2,k2hpo4,2
P4,F4,component1,2,k2hpo4,2
P4,G5,component1,2,k2hpo4,2
P4,H5,component2,2,k2hpo4,2
P4,A6,component1,2,k2hpo4,2
P4,C6,component1,2,k2hpo4,2
P4,E6,component1,2,k2hpo4,2
P4,F6,component2,2,k2hpo4,2
P4,D7,component1,2,k2hpo4,2
P4,E7,component1,2,k2hpo4,2
P4,F7,component1,2,k2hpo4,2
P4,G7,component2,2,k2hpo4,2
P4,H7,component1,2,k2hpo4,2
P4,B9,component2,2,k2hpo4,2
P4,C9,component1,2,k2hpo4,2
P4,E9,component1,2,k2hpo4,2
P4,F9,component2,2,k2hpo4,2
P4,G9,component1,2,k2hpo4,2
P4,H10,component1,2,k2hpo4,2
P4,A11,component2,2,k2hpo4,2
P4,B11,component1,2,k2hpo4,2
P4,D11,component1,2,k2hpo4,2
P4,F11,component1,2,k2hpo4,2
P4,G11,component2,2,k2hpo4,2
P4,E12,component1,2,k2hpo4,2
P4,C1,component2,3,mgso4_x_7_h2o,2
P4,F1,component1,3,mgso4_x_7_h2o,2
P4,H1,component1,3,mgso4_x_7_h2o,2
P4,C2,component2,3,mgso4_x_7_h2o,2
P4,A3,component1,3,mgso4_x_7_h2o,2
P4,B3,component2,3,mgso4_x_7_h2o,2
P4,C3,component1,3,mgso4_x_7_h2o,2
P4,D3,component2,3,mgso4_x_7_h2o,2
P4,A4,component3,3,mgso4_x_7_h2o,2
P4,B4,component2,3,mgso4_x_7_h2o,2
P4,C4,component1,3,mgso4_x_7_h2o,2
P4,H4,component1,3,mgso4_x_7_h2o,2
P4,A5,component2,3,mgso4_x_7_h2o,2
P4,B5,component1,3,mgso4_x_7_h2o,2
P4,G5,component2,3,mgso4_x_7_h2o,2
P4,A6,component2,3,mgso4_x_7_h2o,2
P4,D6,component2,3,mgso4_x_7_h2o,2
P4,G6,component1,3,mgso4_x_7_h2o,2
P4,A7,component1,3,mgso4_x_7_h2o,2
P4,D7,component2,3,mgso4_x_7_h2o,2
P4,B8,component1,3,mgso4_x_7_h2o,2
P4,C8,component2,3,mgso4_x_7_h2o,2
P4,D8,component1,3,mgso4_x_7_h2o,2
P4,E8,component2,3,mgso4_x_7_h2o,2
P4,B9,component3,3,mgso4_x_7_h2o,2
P4,C9,component2,3,mgso4_x_7_h2o,2
P4,D9,component1,3,mgso4_x_7_h2o,2
P4,A10,component1,3,mgso4_x_7_h2o,2
P4,B10,component2,3,mgso4_x_7_h2o,2
P4,C10,component1,3,mgso4_x_7_h2o,2
P4,H10,component2,3,mgso4_x_7_h2o,2
P4,B11,component2,3,mgso4_x_7_h2o,2
P4,E11,component2,3,mgso4_x_7_h2o,2
P4,H11,component1,3,mgso4_x_7_h2o,2
P4,B12,component1,3,mgso4_x_7_h2o,2
P4,E12,component2,3,mgso4_x_7_h2o,2
P4,A1,component1,4,nacl,2
P4,C1,component3,4,nacl,2
P4,G1,component2,4,nacl,2
P4,C2,component3,4,nacl,2
P4,E2,component2,4,nacl,2
P4,G2,component2,4,nacl,2
P4,A3,component2,4,nacl,2
P4,C3,component2,4,nacl,2
P4,E3,component1,4,nacl,2
P4,F3,component2,4,nacl,2
P4,G3,component1,4,nacl,2
P4,F4,component2,4,nacl,2
P4,B5,component2,4,nacl,2
P4,C5,component2,4,nacl,2
P4,D5,component1,4,nacl,2
P4,H5,component3,4,nacl,2
P4,B6,component1,4,nacl,2
P4,D6,component3,4,nacl,2
P4,H6,component2,4,nacl,2
P4,D7,component3,4,nacl,2
P4,F7,component2,4,nacl,2
P4,H7,component2,4,nacl,2
P4,B8,component2,4,nacl,2
P4,D8,component2,4,nacl,2
P4,F8,component1,4,nacl,2
P4,G8,component2,4,nacl,2
P4,H8,component1,4,nacl,2
P4,G9,component2,4,nacl,2
P4,C10,component2,4,nacl,2
P4,D10,component2,4,nacl,2
P4,E10,component1,4,nacl,2
P4,A11,component3,4,nacl,2
P4,C11,component1,4,nacl,2
P4,E11,component3,4,nacl,2
P4,A12,component2,4,nacl,2
P4,E12,component3,4,nacl,2
P4,D1,component2,5,l_asparagine,2
P4,G1,component3,5,l_asparagine,2
P4,H1,component2,5,l_asparagine,2
P4,A2,component2,5,l_asparagine,2
P4,B2,component1,5,l_asparagine,2
P4,F2,component3,5,l_asparagine,2
P4,G2,component3,5,l_asparagine,2
P4,H2,component1,5,l_asparagine,2
P4,B3,component3,5,l_asparagine,2
P4,C3,component3,5,l_asparagine,2
P4,E3,component2,5,l_asparagine,2
