media_id,recipe_order,compound,compound_id,amount,unit,g_l,optional,condition,mmol_l,solution,solution_id,attribute,medium,complex_compound
310,1,V-8 Juice,363,200,ml,NA,0,NA,NA,NA,NA,if not available replace with tomato mash,V-8 JUICE AGAR,1
310,2,CaCO3,13,3,g,3,0,NA,29.973,NA,NA,NA,V-8 JUICE AGAR,0
310,3,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,V-8 JUICE AGAR,1
310,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,V-8 JUICE AGAR,0
425,1,Oat flakes,292,10,g,10,0,NA,NA,NA,NA,NA,OATMEAL AGAR,1
425,2,Oatmeal,471,10,g,10,0,NA,NA,NA,NA,NA,OATMEAL AGAR,1
425,3,Agar,3,20,g,15,0,NA,NA,NA,NA,NA,OATMEAL AGAR,1
425,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,OATMEAL AGAR,0
514,1,Bacto peptone,19,5,g,5,0,NA,NA,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),1
514,2,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,Bacto,BACTO MARINE BROTH (DIFCO 2216),1
514,3,Fe(III) citrate,45,0.1,g,0.1,0,NA,0.408257,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,4,NaCl,43,19.45,g,19.45,0,NA,332.82,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,5,MgCl2,453,5.9,g,5.9,0,NA,61.9683,NA,NA,anhydrous,BACTO MARINE BROTH (DIFCO 2216),0
514,6,Na2SO4,110,3.24,g,3.24,0,NA,22.8105,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,7,CaCl2,81,1.8,g,1.8,0,NA,16.2191,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,8,KCl,61,0.55,g,0.55,0,NA,7.3776,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,9,NaHCO3,55,0.16,g,0.16,0,NA,1.9046,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,10,KBr,174,0.08,g,0.08,0,NA,0.672269,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,11,SrCl2,527,34,mg,0.034,0,NA,0.214484,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,12,H3BO3,37,22,mg,0.022,0,NA,0.355757,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,13,Na-silicate,524,4,mg,0.004,0,NA,0.03277,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,14,NaF,177,2.4,mg,0.0024,0,NA,0.0571589,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,15,(NH4)NO3,528,1.6,mg,0.0016,0,NA,0.0199892,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,16,Na2HPO4,233,8,mg,0.008,0,NA,0.0563543,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
514,17,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BACTO MARINE BROTH (DIFCO 2216),0
535,1,Trypticase soy broth,99,30,g,NA,0,NA,NA,NA,NA,"BBL 11768, Oxoid CM129 or Merck 5459",TRYPTICASE SOY BROTH AGAR,1
535,2,Agar,3,20,g,NA,0,NA,NA,NA,NA,NA,TRYPTICASE SOY BROTH AGAR,1
535,3,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,TRYPTICASE SOY BROTH AGAR,0
545,1,Casein peptone,21,17,g,17,0,NA,NA,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),1
545,2,Soy peptone,75,3,g,3,0,NA,NA,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),1
545,3,D(+)-Glucose,94,2.5,g,2.5,0,NA,13.8766,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),0
545,4,NaCl,43,5,g,5,0,NA,85.5578,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),0
545,5,K2HPO4,10,2.5,g,2.5,0,NA,14.3533,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),0
545,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,TRYPTONE SOYA BROTH (TSB),0
547,1,NA,NA,500,ml,NA,0,NA,NA,Solution I,1207,NA,ISP MEDIUM 4,NA
547,2,NA,NA,501,ml,NA,0,NA,NA,Solution II,1208,NA,ISP MEDIUM 4,NA
547,3,Agar,3,20,g,19.98,0,NA,59.406,NA,NA,NA,ISP MEDIUM 4,1
548,1,Beef extract,85,1,g,1,0,NA,NA,NA,NA,NA,BENNETT'S AGAR,1
548,2,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,BENNETT'S AGAR,0
548,3,N-Z amine,1608,2,g,2,0,NA,NA,NA,NA,enzymatic digest of casein,BENNETT'S AGAR,1
548,4,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,NA,BENNETT'S AGAR,1
548,5,Agar,3,20,g,15,0,NA,44.5991,NA,NA,NA,BENNETT'S AGAR,1
548,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BENNETT'S AGAR,0
553,1,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,GPHF-MEDIUM,0
553,2,Casein peptone,21,5,g,5,0,NA,NA,NA,NA,NA,GPHF-MEDIUM,1
553,3,Yeast extract,16,5,g,5,0,NA,NA,NA,NA,Oxoid,GPHF-MEDIUM,1
553,4,Beef extract,85,5,g,5,0,NA,NA,NA,NA,Oxoid,GPHF-MEDIUM,1
553,5,CaCl2 x 2 H2O,7,0.74,g,0.74,0,NA,5.0335,NA,NA,NA,GPHF-MEDIUM,0
553,6,Agar,3,20,g,20,0,NA,NA,NA,NA,Oxoid,GPHF-MEDIUM,1
553,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,GPHF-MEDIUM,0
554,1,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,N-Z-AMINE-MEDIUM,0
554,2,Starch,199,20,g,20,0,NA,NA,NA,NA,soluble,N-Z-AMINE-MEDIUM,1
